hoge,Month,#Passengers
hoge,1949/1/1,112
hoge,1949/2/1,118
hoge,1949/3/1,132
hoge,1949/4/1,129
hoge,1949/5/1,121
hoge,1949/6/1,135
hoge,1949/7/1,148
hoge,1949/8/1,148
hoge,1949/9/1,136
hoge,1949/10/1,119
hoge,1949/11/1,104
hoge,1949/12/1,118
hoge,1950/1/1,115
hoge,1950/2/1,126
hoge,1950/3/1,141
hoge,1950/4/1,135
hoge,1950/5/1,125
hoge,1950/6/1,149
hoge,1950/7/1,170
hoge,1950/8/1,170
hoge,1950/9/1,158
hoge,1950/10/1,133
hoge,1950/11/1,114
hoge,1950/12/1,140
hoge,1951/1/1,145
hoge,1951/2/1,150
hoge,1951/3/1,178
hoge,1951/4/1,163
hoge,1951/5/1,172
hoge,1951/6/1,178
hoge,1951/7/1,199
hoge,1951/8/1,199
hoge,1951/9/1,184
hoge,1951/10/1,162
hoge,1951/11/1,146
hoge,1951/12/1,166
hoge,1952/1/1,171
hoge,1952/2/1,180
hoge,1952/3/1,193
hoge,1952/4/1,181
hoge,1952/5/1,183
hoge,1952/6/1,218
hoge,1952/7/1,230
hoge,1952/8/1,242
hoge,1952/9/1,209
hoge,1952/10/1,191
hoge,1952/11/1,172
hoge,1952/12/1,194
hoge,1953/1/1,196
hoge,1953/2/1,196
hoge,1953/3/1,236
hoge,1953/4/1,235
hoge,1953/5/1,229
hoge,1953/6/1,243
hoge,1953/7/1,264
hoge,1953/8/1,272
hoge,1953/9/1,237
hoge,1953/10/1,211
hoge,1953/11/1,180
hoge,1953/12/1,201
hoge,1954/1/1,204
hoge,1954/2/1,188
hoge,1954/3/1,235
hoge,1954/4/1,227
hoge,1954/5/1,234
hoge,1954/6/1,264
hoge,1954/7/1,302
hoge,1954/8/1,293
hoge,1954/9/1,259
hoge,1954/10/1,229
hoge,1954/11/1,203
hoge,1954/12/1,229
hoge,1955/1/1,242
hoge,1955/2/1,233
hoge,1955/3/1,267
hoge,1955/4/1,269
hoge,1955/5/1,270
hoge,1955/6/1,315
hoge,1955/7/1,364
hoge,1955/8/1,347
hoge,1955/9/1,312
hoge,1955/10/1,274
hoge,1955/11/1,237
hoge,1955/12/1,278
hoge,1956/1/1,284
hoge,1956/2/1,277
hoge,1956/3/1,317
hoge,1956/4/1,313
hoge,1956/5/1,318
hoge,1956/6/1,374
hoge,1956/7/1,413
hoge,1956/8/1,405
hoge,1956/9/1,355
hoge,1956/10/1,306
hoge,1956/11/1,271
hoge,1956/12/1,306
hoge,1957/1/1,315
hoge,1957/2/1,301
hoge,1957/3/1,356
hoge,1957/4/1,348
hoge,1957/5/1,355
hoge,1957/6/1,422
hoge,1957/7/1,465
hoge,1957/8/1,467
hoge,1957/9/1,404
hoge,1957/10/1,347
hoge,1957/11/1,305
hoge,1957/12/1,336
hoge,1958/1/1,340
hoge,1958/2/1,318
hoge,1958/3/1,362
hoge,1958/4/1,348
hoge,1958/5/1,363
hoge,1958/6/1,435
hoge,1958/7/1,491
hoge,1958/8/1,505
hoge,1958/9/1,404
hoge,1958/10/1,359
hoge,1958/11/1,310
hoge,1958/12/1,337
hoge,1959/1/1,360
hoge,1959/2/1,342
hoge,1959/3/1,406
hoge,1959/4/1,396
hoge,1959/5/1,420
hoge,1959/6/1,472
hoge,1959/7/1,548
hoge,1959/8/1,559
hoge,1959/9/1,463
hoge,1959/10/1,407
hoge,1959/11/1,362
hoge,1959/12/1,405
hoge,1960/1/1,417
hoge,1960/2/1,391
hoge,1960/3/1,419
hoge,1960/4/1,461
hoge,1960/5/1,472
hoge,1960/6/1,535
hoge,1960/7/1,622
hoge,1960/8/1,606
hoge,1960/9/1,508
hoge,1960/10/1,461
hoge,1960/11/1,390
hoge,1960/12/1,432
