Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
11-Dec-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,681,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,1,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,16日～30日,118,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,13,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,46,2,,12,NaN,NaN
11-Dec-17,03_口座開設一般,PC,AT,Y!JAX,流出ターゲティング,,993,0,,92,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,37,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,16日～30日,37,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,730,2,,578,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,128,0,,108,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,315,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,8日～15日,105,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,8206,7,,558,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,37,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,GDN,S4.申込フォーム離脱,-,4032,1,,88,NaN,NaN
11-Dec-17,01_指名,PC,Listing,Google,,,33,1,,90,1.08,NaN
11-Dec-17,01_指名,PC,Listing,Google,-,-,2016,134,,18158,1.01,NaN
