Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/6,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,70,0,,\0,,
2018/2/6,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,154,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,46,0,,\0,,
2018/2/6,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,65,0,,\0,,
2018/2/6,06_外貨預金,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,12,0,,\0,,
2018/2/6,03_口座開設一般,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,"2,932",1,,\788,,
2018/2/6,06_外貨預金,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,12,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,"2,221",1,,\92,,
2018/2/6,03_口座開設一般,SP,AT,GDN,-,-,"1,256",2,,\112,,
2018/2/6,03_口座開設一般,PC,AT,GDN,-,-,"1,114",4,,\364,,
2018/2/6,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,"2,517",0,,\0,,
2018/2/6,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,573,0,,\0,,
2018/2/6,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,1日,"2,641",0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,"1,532",4,,\500,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,857,0,,\0,,
2018/2/6,04_海外での利用,PC,AT,GDN,-,-,"6,869",9,,\731,,
2018/2/6,04_海外での利用,SP,AT,GDN,-,-,"6,510",3,,\150,,
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,"5,810",2,,\234,,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,"2,092",3,,\433,,
2018/2/6,04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,"7,833",7,,"\1,732",,
2018/2/6,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,109,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,37,0,,\0,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,228,0,,\0,,
2018/2/6,04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,"5,502",3,,\370,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,"12,390",8,,\815,,
2018/2/6,03_口座開設一般,SP,Listing,Google,-,-,"8,549",504,4,"\162,925",1.77,
2018/2/6,03_口座開設一般,SP,Listing,Google,,,"1,232",42,,"\12,817",1.85,
2018/2/6,03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,763,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,"1,153",1,,\47,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,"1,568",3,,\196,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,608,0,,\0,,
