Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Day,Impressions,Clicks,CV,Media Cost Margin
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/11,681,0,,0
04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,2017/12/11,1,0,,0
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,16日～30日,2017/12/11,118,0,,0
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,13,0,,0
00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,2017/12/11,46,2,,12
03_口座開設一般,PC,AT,Y!JAX,流出ターゲティング,,2017/12/11,993,0,,92
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,37,0,,0
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,16日～30日,2017/12/11,37,0,,0
06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,2017/12/11,730,2,,578
00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,2017/12/11,128,0,,108
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,315,0,,0
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,8日～15日,2017/12/11,105,0,,0
04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,8206,7,,558
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,2017/12/11,37,0,,0
03_口座開設一般,SP,RT,GDN,S4.申込フォーム離脱,-,2017/12/11,4032,1,,88
01_指名,PC,Listing,Google,,,2017/12/11,33,1,,90
01_指名,PC,Listing,Google,-,-,2017/12/11,2016,134,,18158
03_口座開設一般,PC,RT,GDN,S4.申込フォーム離脱,-,2017/12/11,3920,4,,733
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,8日～15日,2017/12/11,265,0,,0
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,334,0,,0
04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,13373,16,1,1698
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,2017/12/11,107,0,,0
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/11,380,0,,0
03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,2017/12/11,442,1,,122
02_指名関連,PC,Listing,Google,,,2017/12/11,995,8,,2669
00_手数料無料,PC,RT,GDN,S4.申込フォーム離脱,-,2017/12/11,1606,1,,136
03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,2017/12/11,22,0,,5
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/11,756,2,,707
02_指名関連,PC,Listing,Google,-,-,2017/12/11,5449,130,2,51079
06_外貨預金,SP,AT,GDN,-,-,2017/12/11,1440,1,,67
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,508,0,,0
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,179,2,,1072
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,315,0,,0
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,145,0,,0
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,6,0,,0
01_指名,SP,Listing,Google,-,-,2017/12/11,1500,147,3,8714
06_外貨預金,PC,AT,Y!JAX,流出ターゲティング,-,2017/12/11,539,0,,522
06_外貨預金,PC,AT,Y!JAX,流出ターゲティング,,2017/12/11,427,0,,43
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,96,0,,0
