date,predict,trend,seasonal
1949-01-01,86.48,107.53,-21.05
1949-02-01,79.98,109.67,-29.69
1949-03-01,111.15,111.6,-0.45
1949-04-01,108.97,113.74,-4.77
1949-05-01,112.28,115.81,-3.53
1949-06-01,152.51,117.95,34.56
1949-07-01,191.07,120.02,71.06
1949-08-01,190.51,122.16,68.35
1949-09-01,140.91,124.29,16.62
1949-10-01,104.85,126.36,-21.51
1949-11-01,69.98,128.5,-58.52
1949-12-01,98.37,130.57,-32.2
1950-01-01,110.5,132.71,-22.21
1950-02-01,103.4,134.85,-31.44
1950-03-01,138.18,136.78,1.4
1950-04-01,133.17,138.92,-5.75
1950-05-01,138.36,140.99,-2.63
1950-06-01,176.7,143.13,33.57
1950-07-01,216.4,145.2,71.21
1950-08-01,215.37,147.34,68.04
1950-09-01,166.52,149.47,17.05
1950-10-01,129.84,151.54,-21.7
1950-11-01,96.03,153.68,-57.65
1950-12-01,124.59,155.75,-31.16
1951-01-01,134.49,157.89,-23.4
1951-02-01,126.86,160.03,-33.17
1951-03-01,165.2,161.96,3.24
1951-04-01,157.36,164.1,-6.74
1951-05-01,164.44,166.17,-1.73
1951-06-01,200.87,168.31,32.57
1951-07-01,241.72,170.38,71.35
1951-08-01,240.23,172.51,67.72
1951-09-01,192.14,174.65,17.48
1951-10-01,154.85,176.72,-21.88
1951-11-01,122.11,178.86,-56.76
1951-12-01,150.77,180.93,-30.16
1952-01-01,158.43,183.07,-24.64
1952-02-01,150.35,185.21,-34.85
1952-03-01,184.92,187.21,-2.29
1952-04-01,185.55,189.35,-3.8
1952-05-01,186.98,191.42,-4.43
1952-06-01,229.1,193.55,35.54
1952-07-01,266.52,195.62,70.9
1952-08-01,266.42,197.76,68.65
1952-09-01,216.1,199.9,16.2
1952-10-01,180.67,201.97,-21.31
1952-11-01,144.74,204.11,-59.37
1952-12-01,172.9,206.18,-33.27
1953-01-01,187.27,208.32,-21.05
1953-02-01,180.77,210.46,-29.69
1953-03-01,211.94,212.39,-0.45
1953-04-01,209.76,214.53,-4.77
1953-05-01,213.06,216.6,-3.53
1953-06-01,253.3,218.73,34.56
1953-07-01,291.86,220.8,71.06
1953-08-01,291.29,222.94,68.35
1953-09-01,241.82,225.2,16.62
1953-10-01,205.87,227.38,-21.51
1953-11-01,171.11,229.64,-58.52
1953-12-01,199.62,231.82,-32.2
1954-01-01,211.87,234.08,-22.21
1954-02-01,205.12,236.57,-31.44
1954-03-01,240.21,238.81,1.4
1954-04-01,235.55,241.3,-5.75
1954-05-01,241.08,243.71,-2.63
1954-06-01,280.05,246.49,33.57
1954-07-01,320.38,249.17,71.21
1954-08-01,319.99,251.95,68.04
1954-09-01,271.77,254.72,17.05
1954-10-01,235.71,257.41,-21.7
1954-11-01,202.78,260.43,-57.65
1954-12-01,232.2,263.36,-31.16
1955-01-01,242.98,266.38,-23.4
1955-02-01,236.24,269.4,-33.17
1955-03-01,275.38,272.13,3.24
1955-04-01,268.53,275.27,-6.74
1955-05-01,276.58,278.3,-1.73
1955-06-01,314.0,281.44,32.57
1955-07-01,355.82,284.47,71.35
1955-08-01,355.33,287.61,67.72
1955-09-01,308.23,290.74,17.48
1955-10-01,271.9,293.78,-21.88
1955-11-01,240.16,296.92,-56.76
